ID,Name,Link,UserName,Type,Time,Date,Played,Like,Repost
37,capturedtracks,https://soundcloud.com/capturedtracks/beach-fossils-careless-1,Beach Fossils // Careless,focus,3:03,2012-12-04T15:37:37.000Z,"420,634","4,104",468
38,alt-J,https://soundcloud.com/alt-j/alt-j-fitzpleasure-betatraxx,alt-J - Fitzpleasure (Betatraxx Remix),None,5:07,2012-11-28T22:38:47.000Z,"2,109,765","28,380","5,117"
39,Carousel (Official),https://soundcloud.com/carouselmusicpage/carousel-stay-awake,Stay Awake,pop ,3:49,2012-12-03T02:54:09.000Z,"357,994","2,270",433
40,Banda Neira,https://soundcloud.com/bandaneira/ke-entah-berantah-versi-album,Ke Entah Berantah (versi album),nelangsa riang,4:21,2013-02-24T16:36:39.000Z,"1,008,221","8,671","1,521"
41,Payung teduh Official,https://soundcloud.com/payung-teduh-official/untuk-perempuan-yang-sedang-di,Untuk Perempuan Yang Sedang Di Pelukan,pop,5:44,2013-12-09T17:04:18.000Z,"15,675,181","193,406","9,163"
42,Payung teduh Official,https://soundcloud.com/payung-teduh-official/rahasia,Rahasia,pop,6:58,2013-12-09T17:04:18.000Z,"3,456,045","32,482","1,809"
43,Tony Hoffer,https://soundcloud.com/tony-hoffer/the-kooks-she-moves-in-her-own-way,The Kooks - She Moves In Her Own Way,None,2:49,2010-09-08T10:53:32.000Z,"7,428,562","52,105","7,262"
44,Jazz____,https://soundcloud.com/jazz-4/the-kooks-ooh-la,The Kooks - Ooh La,None,3:34,2010-10-17T22:33:35.000Z,"1,731,600","18,822","2,269"
45,+1 Records,https://soundcloud.com/plusonemusic/the-kooks-always-where-i-need,The Kooks - 'Always Where I Need To Be',Rock,2:42,2011-05-04T22:06:47.000Z,"1,375,070","12,150","1,723"
46,felte,https://soundcloud.com/felte/nite-fields-you-i-never-knew,Nite Fields - You I Never Knew,felte,4:26,2014-11-13T20:35:57.000Z,"132,764","1,837",244
47,Fat Possum Records,https://soundcloud.com/fatpossum/american-wrestlers-i-can-do-no-wrong,American Wrestlers - I Can Do No Wrong,American Wrestlers,3:46,2014-11-18T18:29:37.000Z,"69,597",891,148
