ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
15,Indie,/jackkkvfx/sets/indie,Jack Walmsley,None,440,26:43:36,2017-03-28T15:26:16.000Z,134,10,https://soundcloud.com/the-stone-roses/she-bangs-the-drums-2;https://soundcloud.com/ratboyratboy/ratboy-fake-id;https://soundcloud.com/articmonkeys-1/arctic-monkeys-fluorescent;https://soundcloud.com/thecharlatans/how-high-remastered
16,Indie,/ot-tran/sets/indie,ột,None,462,32:28:41,2017-08-05T09:56:23.000Z,21,2,https://soundcloud.com/tinyengines/haybaby-her;https://soundcloud.com/rhodesmusic/rhodes-and-birdy-let-it-all-go;https://soundcloud.com/vasco-figueiredo-1/death-cab-for-cutie-i-will;https://soundcloud.com/no-vacation/august
17,indie,/katrina-watson-516635338/sets/indie,Katrina Watson,None,475,53:27,2016-04-04T20:12:46.000Z,102,11,https://soundcloud.com/atlanticrecords/tounge-tied-grouplove;https://soundcloud.com/20thcenturyfox/let-me-in-grouplove-the-fault-in-our-stars;https://soundcloud.com/canvasback/grouplove-ways-to-go;https://soundcloud.com/atlantic-records-uk/grouplove-colours
18,indie,/mke-castillo/sets/indie,Mke Castillo,None,475,1:04:17,2017-02-23T03:19:33.000Z,7,0,https://soundcloud.com/jezieljovel/porter-espiral;https://soundcloud.com/indiependencemx/technicolor-ruleta;https://soundcloud.com/torreblanca/1000-fantasmas;https://soundcloud.com/thelittlejesus/azul-1
19,Indie,/lyssahaw/sets/indie,Alyssa M. Shaw,None,327,44:20,2018-01-16T07:06:02.000Z,79,7,https://soundcloud.com/passionpit/carried-away;https://soundcloud.com/passionpit/take-a-walk;https://soundcloud.com/badsuns/bad-suns-dancing-on-quicksand;https://soundcloud.com/phoenix/armistice
20,Indie,/minh-ch-uu-543004713/sets/indie,Minh Châu,None,418,59:26,2017-12-22T16:03:29.000Z,9,3,https://soundcloud.com/marzuz/mienmanlaanhduongkia;https://soundcloud.com/marzuz/sbdelse;https://soundcloud.com/marzuz/dengapemdi;https://soundcloud.com/acens/anh-khong-muon-bat-cong-voi-em-acens
21,Indie,/edmond-snorton/sets/indie-1,Edmond Snorton,None,507,33:30:04,2015-09-09T23:44:11.000Z,19,1,https://soundcloud.com/lukechristopher/love-me-like-you-do-remix-luke;https://soundcloud.com/lukechristopher/luke-christopher-they-know;https://soundcloud.com/lukechristopher/upside-down-luke-christopher;https://soundcloud.com/skizzymars/magic-ft-phoebe-ryan
22,Indie,/cole-becker-3/sets/young-blood,Cole Becker,Indie,487,46:56,2017-02-26T07:33:39.000Z,17,2,https://soundcloud.com/jagjaguwar/small-black-back-at-belles;https://soundcloud.com/jagjaguwar/small-black-no-one-wants-it-to-happen-to-you;https://soundcloud.com/jagjaguwar/small-black-boys-life;https://soundcloud.com/small-black/no-stranger
23,Indie,/wallix/sets/indie,Wallix,None,496,52:05,2018-04-16T03:04:49.000Z,3,0,https://soundcloud.com/quinnxcii/make-time;https://soundcloud.com/quinnxcii/iron-steel;https://soundcloud.com/quinnxcii/worst-1;https://soundcloud.com/quinnxcii/straightjacket
24,Indie,/givano-1/sets/indie,Givano,None,405,1:14:34,2015-07-02T20:49:18.000Z,7,2,https://soundcloud.com/leonardoringo/midnight-hooray;https://soundcloud.com/floatproject/sementara-float2nature;https://soundcloud.com/floatproject/i-h-i-radio-edit;https://soundcloud.com/starsandrabbit/man-upon-the-hill-live-at-societet
25,Indie,/drew-armstrong-7/sets/indie,Drew Armstrong,None,466,29:28:44,2017-05-02T16:02:25.000Z,9,2,https://soundcloud.com/packedtotheraftersmusic/03-now-i-love-someone;https://soundcloud.com/junip/junip-your-life-your-call;https://soundcloud.com/cityslang/03-wye-oak-civilian;https://soundcloud.com/swimmmusic/belly-1
26,indie,/user-435816731/sets/indie,blackispoetic,None,438,30:29:01,2016-07-10T04:41:21.000Z,23,4,https://soundcloud.com/brick-lane-records/the-mission-by-valley-maker;https://soundcloud.com/tinyengines/walleater-swallow-you;https://soundcloud.com/tinyengines/walleater-give-in-to-me;https://soundcloud.com/melirnvxlrse/joyce-manor-constant-headache
27,indie,/user447049761/sets/indie,user447049761,None,420,32:14:44,2016-11-20T22:36:30.000Z,27,3,https://soundcloud.com/milkychance/unknown-song-feat-paulina-eisenberg;https://soundcloud.com/andbeyond/woodlock-the-garden;https://soundcloud.com/blanktapemusic/bottle;https://soundcloud.com/jackgarratt/worry-1
28,Indie,/shiiya-knott/sets/indie,ShiiyaK,Electronic,412,29:17:26,2016-02-04T02:52:14.000Z,18,1,https://soundcloud.com/noahbreakfast/shygirls;https://soundcloud.com/lilsad/tei-shi-nevermind-the-end-lil;https://soundcloud.com/tei-shi/go-slow;https://soundcloud.com/tei-shi/see-me
29,indie,/leah-contreras/sets/indie,Leah Contreras,None,370,22:22:18,2016-10-27T16:25:54.000Z,9,0,https://soundcloud.com/grouplove/do-you-love-someone;https://soundcloud.com/saintraymond/letting-go;https://soundcloud.com/coastsband/a-rush-of-blood-1;https://soundcloud.com/knoxhamiltonband/work-it-out
30,indie,/ernest-engelbrecht/sets/indie,Ernest Engelbrecht,None,318,24:37:39,2015-08-17T23:31:23.000Z,17,1,https://soundcloud.com/thisisallweare/feel-safe-1;https://soundcloud.com/qotsa/i-sat-by-the-ocean;https://soundcloud.com/wolfgang/dancing-with-the-devil-1;https://soundcloud.com/run-things/dumb-in-the-sun
31,indie,/t-d-ng-thanh-hi-n/sets/indie,hynbiii,None,447,36:36:27,2018-08-14T04:41:38.000Z,3,0,https://soundcloud.com/hoanglongnger/muon-iem-la-cua-zieng-minkofficial-phe;https://soundcloud.com/awk-v/halo-ane-brun;https://soundcloud.com/phamtoanthang/duoi-chan-em-la-may2;https://soundcloud.com/tlinhww/chay-tron-mat-troi-ba-bop
32,Indie,/jessica-rusch/sets/indie,Jessica Rusch,None,183,49:11,2017-05-31T09:30:21.000Z,17,2,https://soundcloud.com/justmusicsouthafrica/desmond-and-the-tutus-what-am-i-gonna-do-with-you-preview;https://soundcloud.com/justmusicsouthafrica/desmond-and-the-tutus-boogie-man-faze-action-remix;https://soundcloud.com/angusandjuliastone/the-beast;https://soundcloud.com/angusandjuliastone/06-hollywood
33,indie,/gadra-prmn/sets/indie,Gadra Prmn,None,378,25:23:50,2018-08-11T08:01:34.000Z,2,0,https://soundcloud.com/floatproject/sementara;https://soundcloud.com/danilla-jpr/ada-di-sana;https://soundcloud.com/danilla-jpr/sangkakala-kalbu;https://soundcloud.com/edelweistyasayu/endah-n-rhesa-liburan-indie
34,indie,/queeny-beryl/sets/indie,Queeny Beryl,None,332,52:37,2017-05-14T07:28:21.000Z,19,2,https://soundcloud.com/soomz1/x-1;https://soundcloud.com/fakedbean/azhudfb87hc4;https://soundcloud.com/cviamcwtp15j/make-up-love;https://soundcloud.com/flyjaymoon/jay-moon-controlla-remix
35,indie,/49913/sets/indie,Jabłko,None,161,1:04:29,2020-02-13T03:38:27.000Z,5,0,https://soundcloud.com/ratatat/seventeen-years;https://soundcloud.com/ratatat/el-pico;https://soundcloud.com/ratatat/crips;https://soundcloud.com/ratatat/desert-eagle
36,Indie,/user-157459121/sets/indie,User 157459121,None,418,28:54:44,2020-05-23T02:49:39.000Z,0,0,https://soundcloud.com/local-natives/pastlives;https://soundcloud.com/local-natives/airplanes;https://soundcloud.com/local-natives/dark-days-sofi-tukker-remix;https://soundcloud.com/rainbow-kitten-surprise/alls-well-that-ends
37,Indie,/user640047029/sets/indie,Jarret,None,455,29:43:17,2015-01-05T21:49:43.000Z,15,2,https://soundcloud.com/tinyengines/it-looks-sad-ocean;https://soundcloud.com/fatcatrecords/the-twilight-sad-theres-a-girl;https://soundcloud.com/fijicat/kruxe-tre-ors;https://soundcloud.com/plasticfishrecords/beach-youth-days-1
38,indie,/timothy-dicaprio-saragih/sets/indie,Timothy Dicaprio Saragih,None,342,59:06,2018-01-28T23:43:34.000Z,3,0,https://soundcloud.com/floatproject/sementara;https://soundcloud.com/nosstress/nosstress-buka-hati;https://soundcloud.com/dialogdinihari/pelangi;https://soundcloud.com/fourtwntymusic/diskusisenja
39,INDIE,/natalia-barbosa248/sets/indie,natalia,None,434,27:24:34,2019-04-08T21:47:30.000Z,3,0,https://soundcloud.com/bootleg-rascal/kings-and-queens;https://soundcloud.com/oceanalley/yellow-mellow;https://soundcloud.com/oceanalley/lemonworld-1;https://soundcloud.com/oceanalley/space-goat
40,Indie....,/guy-geerts-517180179/sets/moon-shine-on,Goodiebag,Rock,473,1:04:51,2021-05-12T16:04:50.000Z,1,0,https://soundcloud.com/cupajaffer/shakey-graves-roll-the-bones-3;https://soundcloud.com/catclyde/06-mama-said;https://soundcloud.com/blanco-white-1/nocturne;https://soundcloud.com/khruangbin/midnight
